!MOLECULE
CH spin-rotation spectrum up to 1000 cm^-1 above ground without hyperfine structure; based on CDMS v3 (June 2015)                                                                     
!MOLECULAR WEIGHT
   13.0     
! NUMBER OF ENERGY LEVELS
   31
!Level	E(cm-1)	   weight	J e/f +/- Omega
171  25  19  2.11e-13 2.67e-13 3.51e-13 4.60e-13 5.94e-13 7.51e-13 9.30e-13 1.13e-12 1.35e-12 1.58e-12 1.83e-12 2.09e-12 2.36e-12 2.64e-12 2.92e-12 3.21e-12 3.51e-12 3.80e-12 4.10e-12 4.40e-12 4.70e-12 5.00e-12 5.29e-12 5.58e-12 5.87e-12 6.16e-12 6.44e-12 6.72e-12 6.99e-12 7.26e-12 
172  25  18  4.06e-13 4.76e-13 5.86e-13 7.22e-13 8.76e-13 1.05e-12 1.23e-12 1.41e-12 1.61e-12 1.81e-12 2.01e-12 2.21e-12 2.41e-12 2.61e-12 2.81e-12 3.01e-12 3.20e-12 3.40e-12 3.59e-12 3.78e-12 3.96e-12 4.15e-12 4.33e-12 4.51e-12 4.68e-12 4.85e-12 5.02e-12 5.19e-12 5.35e-12 5.52e-12 
173  25  17  8.18e-13 1.01e-12 1.26e-12 1.55e-12 1.87e-12 2.22e-12 2.59e-12 2.98e-12 3.38e-12 3.80e-12 4.22e-12 4.64e-12 5.07e-12 5.51e-12 5.94e-12 6.38e-12 6.82e-12 7.26e-12 7.70e-12 8.13e-12 8.57e-12 9.01e-12 9.45e-12 9.88e-12 1.03e-11 1.07e-11 1.12e-11 1.16e-11 1.20e-11 1.25e-11 
174  25  16  1.01e-13 1.29e-13 1.67e-13 2.14e-13 2.70e-13 3.34e-13 4.05e-13 4.82e-13 5.63e-13 6.48e-13 7.37e-13 8.28e-13 9.21e-13 1.02e-12 1.11e-12 1.21e-12 1.30e-12 1.40e-12 1.50e-12 1.59e-12 1.69e-12 1.79e-12 1.88e-12 1.98e-12 2.07e-12 2.17e-12 2.26e-12 2.35e-12 2.45e-12 2.54e-12 
175  25  15  9.45e-14 1.22e-13 1.59e-13 2.05e-13 2.59e-13 3.22e-13 3.91e-13 4.67e-13 5.49e-13 6.35e-13 7.26e-13 8.20e-13 9.18e-13 1.02e-12 1.12e-12 1.23e-12 1.34e-12 1.45e-12 1.56e-12 1.68e-12 1.80e-12 1.92e-12 2.04e-12 2.16e-12 2.28e-12 2.41e-12 2.53e-12 2.66e-12 2.78e-12 2.91e-12 
176  25  14  2.36e-13 2.98e-13 3.79e-13 4.77e-13 5.90e-13 7.15e-13 8.52e-13 9.97e-13 1.15e-12 1.31e-12 1.47e-12 1.64e-12 1.81e-12 1.99e-12 2.17e-12 2.34e-12 2.53e-12 2.71e-12 2.89e-12 3.07e-12 3.26e-12 3.44e-12 3.62e-12 3.81e-12 3.99e-12 4.17e-12 4.36e-12 4.54e-12 4.72e-12 4.90e-12 
177  25  13  3.12e-13 3.74e-13 4.67e-13 5.83e-13 7.17e-13 8.66e-13 1.03e-12 1.20e-12 1.38e-12 1.56e-12 1.75e-12 1.94e-12 2.13e-12 2.32e-12 2.51e-12 2.70e-12 2.89e-12 3.08e-12 3.26e-12 3.44e-12 3.62e-12 3.80e-12 3.97e-12 4.14e-12 4.31e-12 4.47e-12 4.63e-12 4.78e-12 4.93e-12 5.08e-12 
178  25  12  5.56e-14 6.90e-14 8.88e-14 1.14e-13 1.44e-13 1.79e-13 2.17e-13 2.58e-13 3.03e-13 3.49e-13 3.97e-13 4.46e-13 4.96e-13 5.48e-13 6.00e-13 6.52e-13 7.05e-13 7.57e-13 8.10e-13 8.63e-13 9.16e-13 9.69e-13 1.02e-12 1.07e-12 1.13e-12 1.18e-12 1.23e-12 1.28e-12 1.34e-12 1.39e-12 
179  25  11  7.50e-14 9.86e-14 1.30e-13 1.70e-13 2.19e-13 2.75e-13 3.38e-13 4.08e-13 4.84e-13 5.66e-13 6.52e-13 7.42e-13 8.36e-13 9.34e-13 1.03e-12 1.14e-12 1.24e-12 1.34e-12 1.45e-12 1.56e-12 1.67e-12 1.77e-12 1.88e-12 1.99e-12 2.10e-12 2.21e-12 2.32e-12 2.43e-12 2.53e-12 2.64e-12 
180  25  10  1.02e-13 1.24e-13 1.57e-13 1.99e-13 2.47e-13 3.03e-13 3.63e-13 4.28e-13 4.97e-13 5.68e-13 6.42e-13 7.18e-13 7.95e-13 8.73e-13 9.51e-13 1.03e-12 1.11e-12 1.19e-12 1.26e-12 1.34e-12 1.42e-12 1.49e-12 1.57e-12 1.64e-12 1.72e-12 1.79e-12 1.86e-12 1.93e-12 2.00e-12 2.07e-12 
181  25   9  4.88e-14 6.37e-14 8.19e-14 1.04e-13 1.29e-13 1.57e-13 1.88e-13 2.22e-13 2.59e-13 2.98e-13 3.40e-13 3.84e-13 4.30e-13 4.79e-13 5.31e-13 5.84e-13 6.40e-13 6.99e-13 7.59e-13 8.22e-13 8.87e-13 9.54e-13 1.02e-12 1.09e-12 1.17e-12 1.24e-12 1.32e-12 1.40e-12 1.47e-12 1.56e-12 
182  25   8  3.70e-14 4.81e-14 6.29e-14 8.12e-14 1.03e-13 1.28e-13 1.56e-13 1.86e-13 2.18e-13 2.52e-13 2.87e-13 3.24e-13 3.61e-13 4.00e-13 4.40e-13 4.80e-13 5.21e-13 5.62e-13 6.05e-13 6.47e-13 6.90e-13 7.34e-13 7.78e-13 8.23e-13 8.68e-13 9.13e-13 9.59e-13 1.00e-12 1.05e-12 1.10e-12 
183  25   7  2.75e-14 3.46e-14 4.53e-14 5.91e-14 7.60e-14 9.58e-14 1.18e-13 1.43e-13 1.70e-13 1.98e-13 2.28e-13 2.59e-13 2.92e-13 3.26e-13 3.60e-13 3.96e-13 4.32e-13 4.69e-13 5.07e-13 5.46e-13 5.85e-13 6.25e-13 6.66e-13 7.07e-13 7.49e-13 7.92e-13 8.35e-13 8.79e-13 9.24e-13 9.69e-13 
184  25   6  2.39e-14 3.21e-14 4.23e-14 5.48e-14 6.96e-14 8.64e-14 1.05e-13 1.26e-13 1.48e-13 1.72e-13 1.97e-13 2.23e-13 2.50e-13 2.79e-13 3.09e-13 3.40e-13 3.71e-13 4.04e-13 4.39e-13 4.74e-13 5.10e-13 5.47e-13 5.85e-13 6.24e-13 6.63e-13 7.04e-13 7.45e-13 7.87e-13 8.30e-13 8.73e-13 
185  25   5  5.93e-14 7.28e-14 9.25e-14 1.17e-13 1.47e-13 1.80e-13 2.17e-13 2.56e-13 2.98e-13 3.42e-13 3.88e-13 4.35e-13 4.83e-13 5.32e-13 5.81e-13 6.31e-13 6.80e-13 7.30e-13 7.80e-13 8.29e-13 8.79e-13 9.28e-13 9.76e-13 1.02e-12 1.07e-12 1.12e-12 1.16e-12 1.21e-12 1.25e-12 1.30e-12 
186  25   4  2.48e-14 3.13e-14 4.08e-14 5.29e-14 6.75e-14 8.43e-14 1.03e-13 1.24e-13 1.46e-13 1.70e-13 1.94e-13 2.20e-13 2.46e-13 2.73e-13 3.00e-13 3.28e-13 3.56e-13 3.84e-13 4.11e-13 4.39e-13 4.67e-13 4.95e-13 5.22e-13 5.50e-13 5.77e-13 6.04e-13 6.30e-13 6.56e-13 6.83e-13 7.08e-13 
187  25   3  2.21e-14 2.89e-14 3.80e-14 4.94e-14 6.31e-14 7.89e-14 9.67e-14 1.16e-13 1.37e-13 1.60e-13 1.84e-13 2.09e-13 2.34e-13 2.61e-13 2.89e-13 3.17e-13 3.46e-13 3.76e-13 4.07e-13 4.38e-13 4.69e-13 5.01e-13 5.34e-13 5.67e-13 6.01e-13 6.34e-13 6.69e-13 7.03e-13 7.38e-13 7.73e-13 
188  25   2  1.33e-14 1.68e-14 2.18e-14 2.82e-14 3.59e-14 4.48e-14 5.48e-14 6.57e-14 7.73e-14 8.97e-14 1.03e-13 1.16e-13 1.30e-13 1.44e-13 1.58e-13 1.73e-13 1.87e-13 2.02e-13 2.17e-13 2.31e-13 2.46e-13 2.61e-13 2.75e-13 2.90e-13 3.04e-13 3.18e-13 3.33e-13 3.47e-13 3.61e-13 3.74e-13 
189  25   1  6.49e-15 9.03e-15 1.22e-14 1.60e-14 2.07e-14 2.61e-14 3.21e-14 3.88e-14 4.61e-14 5.40e-14 6.25e-14 7.15e-14 8.10e-14 9.11e-14 1.02e-13 1.13e-13 1.25e-13 1.37e-13 1.50e-13 1.64e-13 1.78e-13 1.92e-13 2.08e-13 2.23e-13 2.40e-13 2.56e-13 2.74e-13 2.91e-13 3.10e-13 3.28e-13 
190  24  23  2.56e-12 2.58e-12 2.74e-12 2.94e-12 3.17e-12 3.42e-12 3.69e-12 3.95e-12 4.23e-12 4.51e-12 4.80e-12 5.08e-12 5.38e-12 5.67e-12 5.97e-12 6.27e-12 6.57e-12 6.87e-12 7.17e-12 7.47e-12 7.76e-12 8.06e-12 8.36e-12 8.65e-12 8.94e-12 9.22e-12 9.51e-12 9.79e-12 1.01e-11 1.03e-11 
191  24  22  5.36e-12 5.54e-12 6.09e-12 6.75e-12 7.45e-12 8.18e-12 8.90e-12 9.62e-12 1.03e-11 1.10e-11 1.17e-11 1.24e-11 1.30e-11 1.36e-11 1.42e-11 1.48e-11 1.54e-11 1.59e-11 1.65e-11 1.70e-11 1.75e-11 1.79e-11 1.84e-11 1.89e-11 1.93e-11 1.97e-11 2.01e-11 2.05e-11 2.09e-11 2.13e-11 
192  24  21  9.37e-14 1.07e-13 1.29e-13 1.58e-13 1.92e-13 2.30e-13 2.72e-13 3.19e-13 3.69e-13 4.23e-13 4.81e-13 5.43e-13 6.08e-13 6.76e-13 7.48e-13 8.22e-13 8.99e-13 9.79e-13 1.06e-12 1.15e-12 1.23e-12 1.32e-12 1.41e-12 1.51e-12 1.60e-12 1.69e-12 1.79e-12 1.89e-12 1.99e-12 2.08e-12 
193  24  20  1.54e-12 1.82e-12 2.25e-12 2.77e-12 3.35e-12 3.97e-12 4.61e-12 5.27e-12 5.94e-12 6.62e-12 7.30e-12 7.98e-12 8.66e-12 9.33e-12 9.99e-12 1.07e-11 1.13e-11 1.19e-11 1.26e-11 1.32e-11 1.38e-11 1.44e-11 1.50e-11 1.56e-11 1.62e-11 1.67e-11 1.73e-11 1.78e-11 1.84e-11 1.89e-11 
194  24  19  1.37e-11 1.38e-11 1.51e-11 1.69e-11 1.88e-11 2.09e-11 2.30e-11 2.51e-11 2.73e-11 2.94e-11 3.15e-11 3.36e-11 3.56e-11 3.76e-11 3.95e-11 4.14e-11 4.32e-11 4.50e-11 4.67e-11 4.84e-11 5.00e-11 5.15e-11 5.30e-11 5.45e-11 5.59e-11 5.73e-11 5.86e-11 5.99e-11 6.11e-11 6.23e-11 
195  24  18  1.58e-13 1.78e-13 2.17e-13 2.64e-13 3.17e-13 3.76e-13 4.39e-13 5.06e-13 5.76e-13 6.48e-13 7.23e-13 8.01e-13 8.80e-13 9.60e-13 1.04e-12 1.13e-12 1.21e-12 1.30e-12 1.38e-12 1.47e-12 1.56e-12 1.65e-12 1.74e-12 1.83e-12 1.92e-12 2.01e-12 2.11e-12 2.20e-12 2.29e-12 2.38e-12 
196  24  17  3.97e-13 4.11e-13 4.79e-13 5.76e-13 6.92e-13 8.24e-13 9.69e-13 1.12e-12 1.29e-12 1.46e-12 1.63e-12 1.81e-12 1.99e-12 2.17e-12 2.35e-12 2.53e-12 2.71e-12 2.88e-12 3.06e-12 3.23e-12 3.40e-12 3.57e-12 3.73e-12 3.89e-12 4.05e-12 4.20e-12 4.35e-12 4.50e-12 4.64e-12 4.78e-12 
197  24  16  3.35e-13 4.05e-13 5.23e-13 6.75e-13 8.54e-13 1.06e-12 1.29e-12 1.53e-12 1.80e-12 2.08e-12 2.38e-12 2.69e-12 3.01e-12 3.34e-12 3.68e-12 4.02e-12 4.38e-12 4.73e-12 5.10e-12 5.47e-12 5.84e-12 6.22e-12 6.60e-12 6.98e-12 7.36e-12 7.75e-12 8.14e-12 8.53e-12 8.92e-12 9.31e-12 
198  24  15  3.04e-13 3.52e-13 4.44e-13 5.61e-13 7.00e-13 8.56e-13 1.03e-12 1.21e-12 1.40e-12 1.60e-12 1.81e-12 2.02e-12 2.23e-12 2.45e-12 2.67e-12 2.89e-12 3.11e-12 3.33e-12 3.54e-12 3.76e-12 3.98e-12 4.19e-12 4.40e-12 4.61e-12 4.81e-12 5.02e-12 5.22e-12 5.42e-12 5.61e-12 5.80e-12 
199  24  14  1.78e-14 2.20e-14 2.97e-14 4.03e-14 5.39e-14 7.08e-14 9.10e-14 1.15e-13 1.42e-13 1.74e-13 2.09e-13 2.48e-13 2.90e-13 3.37e-13 3.87e-13 4.40e-13 4.97e-13 5.56e-13 6.19e-13 6.85e-13 7.53e-13 8.24e-13 8.98e-13 9.73e-13 1.05e-12 1.13e-12 1.21e-12 1.29e-12 1.38e-12 1.46e-12 
200  24  13  3.83e-14 4.49e-14 5.77e-14 7.50e-14 9.64e-14 1.22e-13 1.51e-13 1.83e-13 2.20e-13 2.59e-13 3.02e-13 3.48e-13 3.96e-13 4.47e-13 5.00e-13 5.55e-13 6.12e-13 6.70e-13 7.30e-13 7.90e-13 8.51e-13 9.13e-13 9.75e-13 1.04e-12 1.10e-12 1.16e-12 1.23e-12 1.29e-12 1.35e-12 1.41e-12 
201  24  12  3.69e-14 4.77e-14 6.55e-14 8.89e-14 1.18e-13 1.51e-13 1.89e-13 2.31e-13 2.77e-13 3.26e-13 3.78e-13 4.33e-13 4.91e-13 5.50e-13 6.12e-13 6.75e-13 7.39e-13 8.05e-13 8.73e-13 9.41e-13 1.01e-12 1.08e-12 1.15e-12 1.22e-12 1.29e-12 1.36e-12 1.43e-12 1.51e-12 1.58e-12 1.65e-12 
202  24  11  3.81e-14 5.05e-14 7.14e-14 1.00e-13 1.38e-13 1.84e-13 2.40e-13 3.06e-13 3.82e-13 4.69e-13 5.66e-13 6.73e-13 7.89e-13 9.15e-13 1.05e-12 1.19e-12 1.34e-12 1.50e-12 1.66e-12 1.83e-12 2.00e-12 2.18e-12 2.36e-12 2.55e-12 2.74e-12 2.93e-12 3.12e-12 3.31e-12 3.51e-12 3.70e-12 
203  24  10  3.37e-15 4.27e-15 5.91e-15 8.24e-15 1.13e-14 1.53e-14 2.02e-14 2.61e-14 3.32e-14 4.16e-14 5.12e-14 6.22e-14 7.46e-14 8.83e-14 1.03e-13 1.20e-13 1.38e-13 1.57e-13 1.77e-13 1.98e-13 2.21e-13 2.45e-13 2.69e-13 2.95e-13 3.21e-13 3.48e-13 3.76e-13 4.05e-13 4.34e-13 4.64e-13 
204  24   9  3.35e-15 4.55e-15 6.60e-15 9.44e-15 1.32e-14 1.78e-14 2.35e-14 3.03e-14 3.84e-14 4.78e-14 5.85e-14 7.07e-14 8.44e-14 9.96e-14 1.16e-13 1.34e-13 1.54e-13 1.75e-13 1.97e-13 2.21e-13 2.46e-13 2.72e-13 2.99e-13 3.27e-13 3.57e-13 3.87e-13 4.17e-13 4.49e-13 4.81e-13 5.14e-13 
205  24   8  1.80e-14 2.31e-14 3.18e-14 4.36e-14 5.84e-14 7.64e-14 9.76e-14 1.22e-13 1.50e-13 1.81e-13 2.15e-13 2.53e-13 2.94e-13 3.37e-13 3.84e-13 4.34e-13 4.87e-13 5.42e-13 6.00e-13 6.60e-13 7.23e-13 7.87e-13 8.54e-13 9.23e-13 9.93e-13 1.06e-12 1.14e-12 1.21e-12 1.29e-12 1.37e-12 
206  24   7  5.55e-15 7.54e-15 1.09e-14 1.55e-14 2.13e-14 2.84e-14 3.67e-14 4.63e-14 5.71e-14 6.91e-14 8.23e-14 9.67e-14 1.12e-13 1.29e-13 1.46e-13 1.65e-13 1.85e-13 2.05e-13 2.27e-13 2.50e-13 2.73e-13 2.97e-13 3.22e-13 3.47e-13 3.74e-13 4.01e-13 4.28e-13 4.56e-13 4.85e-13 5.14e-13 
207  24   6  1.32e-15 1.76e-15 2.52e-15 3.63e-15 5.13e-15 7.10e-15 9.65e-15 1.29e-14 1.69e-14 2.18e-14 2.76e-14 3.45e-14 4.24e-14 5.13e-14 6.14e-14 7.25e-14 8.47e-14 9.79e-14 1.12e-13 1.27e-13 1.43e-13 1.60e-13 1.78e-13 1.97e-13 2.16e-13 2.36e-13 2.57e-13 2.78e-13 2.99e-13 3.21e-13 
208  24   5  3.17e-15 4.28e-15 6.19e-15 8.87e-15 1.23e-14 1.66e-14 2.17e-14 2.77e-14 3.45e-14 4.23e-14 5.09e-14 6.03e-14 7.07e-14 8.18e-14 9.38e-14 1.06e-13 1.20e-13 1.34e-13 1.49e-13 1.64e-13 1.80e-13 1.96e-13 2.13e-13 2.30e-13 2.48e-13 2.66e-13 2.84e-13 3.02e-13 3.21e-13 3.40e-13 
209  24   4  3.97e-15 5.34e-15 7.63e-15 1.07e-14 1.47e-14 1.94e-14 2.48e-14 3.10e-14 3.78e-14 4.51e-14 5.31e-14 6.15e-14 7.04e-14 7.97e-14 8.95e-14 9.96e-14 1.10e-13 1.21e-13 1.32e-13 1.43e-13 1.55e-13 1.67e-13 1.79e-13 1.91e-13 2.04e-13 2.16e-13 2.29e-13 2.42e-13 2.55e-13 2.69e-13 
210  24   3  3.66e-15 4.90e-15 7.05e-15 1.01e-14 1.42e-14 1.93e-14 2.58e-14 3.36e-14 4.28e-14 5.37e-14 6.62e-14 8.04e-14 9.63e-14 1.14e-13 1.33e-13 1.54e-13 1.76e-13 2.00e-13 2.26e-13 2.52e-13 2.80e-13 3.09e-13 3.39e-13 3.70e-13 4.02e-13 4.35e-13 4.69e-13 5.03e-13 5.38e-13 5.73e-13 
211  24   2  1.41e-15 1.91e-15 2.77e-15 3.96e-15 5.51e-15 7.42e-15 9.70e-15 1.24e-14 1.54e-14 1.88e-14 2.26e-14 2.68e-14 3.13e-14 3.61e-14 4.13e-14 4.67e-14 5.24e-14 5.84e-14 6.46e-14 7.10e-14 7.77e-14 8.45e-14 9.15e-14 9.86e-14 1.06e-13 1.13e-13 1.21e-13 1.28e-13 1.36e-13 1.44e-13 
212  24   1  1.63e-15 2.16e-15 3.06e-15 4.31e-15 5.91e-15 7.90e-15 1.03e-14 1.31e-14 1.64e-14 2.02e-14 2.45e-14 2.93e-14 3.46e-14 4.04e-14 4.68e-14 5.36e-14 6.08e-14 6.85e-14 7.67e-14 8.52e-14 9.41e-14 1.03e-13 1.13e-13 1.23e-13 1.33e-13 1.43e-13 1.54e-13 1.65e-13 1.76e-13 1.87e-13 
213  23  22  2.57e-13 2.76e-13 3.14e-13 3.62e-13 4.17e-13 4.78e-13 5.44e-13 6.14e-13 6.89e-13 7.68e-13 8.50e-13 9.36e-13 1.03e-12 1.12e-12 1.21e-12 1.31e-12 1.41e-12 1.52e-12 1.62e-12 1.73e-12 1.84e-12 1.95e-12 2.06e-12 2.17e-12 2.29e-12 2.40e-12 2.52e-12 2.64e-12 2.75e-12 2.87e-12 
214  23  21  1.41e-13 2.13e-13 3.08e-13 4.25e-13 5.66e-13 7.34e-13 9.28e-13 1.15e-12 1.40e-12 1.67e-12 1.97e-12 2.29e-12 2.63e-12 2.98e-12 3.35e-12 3.74e-12 4.13e-12 4.53e-12 4.93e-12 5.34e-12 5.76e-12 6.17e-12 6.58e-12 6.99e-12 7.39e-12 7.80e-12 8.19e-12 8.59e-12 8.97e-12 9.35e-12 
215  23  20  6.76e-12 7.95e-12 9.39e-12 1.10e-11 1.26e-11 1.43e-11 1.59e-11 1.76e-11 1.92e-11 2.08e-11 2.23e-11 2.38e-11 2.53e-11 2.67e-11 2.81e-11 2.94e-11 3.08e-11 3.20e-11 3.33e-11 3.45e-11 3.56e-11 3.68e-11 3.79e-11 3.90e-11 4.00e-11 4.11e-11 4.21e-11 4.30e-11 4.40e-11 4.49e-11 
216  23  19  3.36e-12 3.92e-12 4.63e-12 5.41e-12 6.23e-12 7.06e-12 7.88e-12 8.69e-12 9.47e-12 1.02e-11 1.09e-11 1.16e-11 1.23e-11 1.29e-11 1.35e-11 1.41e-11 1.46e-11 1.52e-11 1.57e-11 1.62e-11 1.66e-11 1.71e-11 1.75e-11 1.79e-11 1.83e-11 1.87e-11 1.91e-11 1.94e-11 1.98e-11 2.01e-11 
217  23  18  6.43e-13 7.88e-13 9.76e-13 1.19e-12 1.43e-12 1.68e-12 1.95e-12 2.21e-12 2.48e-12 2.75e-12 3.02e-12 3.29e-12 3.56e-12 3.82e-12 4.07e-12 4.33e-12 4.57e-12 4.82e-12 5.05e-12 5.29e-12 5.52e-12 5.74e-12 5.96e-12 6.17e-12 6.38e-12 6.59e-12 6.79e-12 6.98e-12 7.18e-12 7.37e-12 
218  23  17  3.06e-13 3.81e-13 4.86e-13 6.17e-13 7.70e-13 9.44e-13 1.14e-12 1.35e-12 1.57e-12 1.80e-12 2.04e-12 2.28e-12 2.53e-12 2.78e-12 3.03e-12 3.28e-12 3.52e-12 3.77e-12 4.01e-12 4.25e-12 4.49e-12 4.72e-12 4.95e-12 5.17e-12 5.39e-12 5.61e-12 5.82e-12 6.03e-12 6.24e-12 6.44e-12 
219  23  16  4.94e-13 5.96e-13 7.31e-13 8.90e-13 1.06e-12 1.25e-12 1.44e-12 1.64e-12 1.84e-12 2.04e-12 2.24e-12 2.44e-12 2.64e-12 2.83e-12 3.03e-12 3.22e-12 3.41e-12 3.60e-12 3.79e-12 3.98e-12 4.16e-12 4.34e-12 4.52e-12 4.70e-12 4.87e-12 5.05e-12 5.22e-12 5.39e-12 5.56e-12 5.73e-12 
220  23  15  1.56e-12 1.88e-12 2.29e-12 2.77e-12 3.29e-12 3.84e-12 4.40e-12 4.99e-12 5.58e-12 6.18e-12 6.78e-12 7.39e-12 7.99e-12 8.60e-12 9.20e-12 9.80e-12 1.04e-11 1.10e-11 1.16e-11 1.21e-11 1.27e-11 1.33e-11 1.39e-11 1.44e-11 1.50e-11 1.55e-11 1.61e-11 1.66e-11 1.71e-11 1.77e-11 
221  23  14  1.69e-13 2.06e-13 2.55e-13 3.12e-13 3.76e-13 4.45e-13 5.17e-13 5.93e-13 6.71e-13 7.51e-13 8.34e-13 9.18e-13 1.00e-12 1.09e-12 1.18e-12 1.27e-12 1.36e-12 1.45e-12 1.54e-12 1.63e-12 1.73e-12 1.82e-12 1.92e-12 2.01e-12 2.11e-12 2.20e-12 2.30e-12 2.39e-12 2.49e-12 2.59e-12 
222  23  13  3.90e-13 4.88e-13 6.29e-13 8.04e-13 1.01e-12 1.24e-12 1.48e-12 1.75e-12 2.03e-12 2.31e-12 2.61e-12 2.91e-12 3.21e-12 3.51e-12 3.81e-12 4.11e-12 4.40e-12 4.70e-12 4.98e-12 5.26e-12 5.54e-12 5.81e-12 6.07e-12 6.33e-12 6.58e-12 6.82e-12 7.06e-12 7.29e-12 7.51e-12 7.73e-12 
223  23  12  4.61e-13 5.67e-13 7.09e-13 8.77e-13 1.06e-12 1.27e-12 1.49e-12 1.71e-12 1.95e-12 2.19e-12 2.44e-12 2.69e-12 2.95e-12 3.20e-12 3.46e-12 3.72e-12 3.98e-12 4.24e-12 4.50e-12 4.76e-12 5.02e-12 5.27e-12 5.53e-12 5.78e-12 6.04e-12 6.29e-12 6.54e-12 6.78e-12 7.03e-12 7.27e-12 
224  23  11  4.48e-13 5.46e-13 6.77e-13 8.31e-13 1.00e-12 1.18e-12 1.38e-12 1.57e-12 1.77e-12 1.98e-12 2.18e-12 2.38e-12 2.58e-12 2.78e-12 2.98e-12 3.18e-12 3.37e-12 3.55e-12 3.74e-12 3.92e-12 4.09e-12 4.26e-12 4.43e-12 4.60e-12 4.76e-12 4.91e-12 5.06e-12 5.21e-12 5.35e-12 5.49e-12 
225  23  10  1.61e-13 2.02e-13 2.57e-13 3.24e-13 4.00e-13 4.85e-13 5.75e-13 6.71e-13 7.71e-13 8.75e-13 9.81e-13 1.09e-12 1.20e-12 1.31e-12 1.42e-12 1.53e-12 1.64e-12 1.75e-12 1.86e-12 1.97e-12 2.08e-12 2.19e-12 2.30e-12 2.40e-12 2.51e-12 2.61e-12 2.71e-12 2.82e-12 2.92e-12 3.01e-12 
226  23   9  1.19e-13 1.47e-13 1.84e-13 2.28e-13 2.78e-13 3.33e-13 3.93e-13 4.56e-13 5.23e-13 5.94e-13 6.69e-13 7.47e-13 8.28e-13 9.11e-13 9.98e-13 1.09e-12 1.18e-12 1.27e-12 1.37e-12 1.46e-12 1.56e-12 1.66e-12 1.76e-12 1.86e-12 1.97e-12 2.07e-12 2.18e-12 2.28e-12 2.39e-12 2.49e-12 
227  23   8  1.43e-13 1.76e-13 2.20e-13 2.74e-13 3.35e-13 4.02e-13 4.73e-13 5.47e-13 6.24e-13 7.01e-13 7.80e-13 8.60e-13 9.39e-13 1.02e-12 1.10e-12 1.18e-12 1.25e-12 1.33e-12 1.41e-12 1.49e-12 1.56e-12 1.64e-12 1.71e-12 1.79e-12 1.86e-12 1.93e-12 2.01e-12 2.08e-12 2.15e-12 2.22e-12 
228  23   7  1.27e-13 1.60e-13 2.06e-13 2.61e-13 3.24e-13 3.93e-13 4.69e-13 5.51e-13 6.38e-13 7.29e-13 8.25e-13 9.25e-13 1.03e-12 1.14e-12 1.25e-12 1.36e-12 1.48e-12 1.59e-12 1.72e-12 1.84e-12 1.96e-12 2.09e-12 2.22e-12 2.35e-12 2.48e-12 2.61e-12 2.75e-12 2.88e-12 3.02e-12 3.15e-12 
229  23   6  6.12e-14 7.42e-14 9.24e-14 1.14e-13 1.39e-13 1.65e-13 1.93e-13 2.21e-13 2.50e-13 2.80e-13 3.10e-13 3.40e-13 3.71e-13 4.01e-13 4.32e-13 4.64e-13 4.96e-13 5.28e-13 5.61e-13 5.94e-13 6.27e-13 6.61e-13 6.96e-13 7.31e-13 7.67e-13 8.03e-13 8.39e-13 8.76e-13 9.14e-13 9.51e-13 
230  23   5  8.86e-14 1.13e-13 1.45e-13 1.85e-13 2.31e-13 2.83e-13 3.39e-13 3.99e-13 4.63e-13 5.30e-13 5.99e-13 6.71e-13 7.44e-13 8.18e-13 8.94e-13 9.70e-13 1.05e-12 1.12e-12 1.20e-12 1.28e-12 1.36e-12 1.44e-12 1.51e-12 1.59e-12 1.67e-12 1.74e-12 1.82e-12 1.90e-12 1.97e-12 2.04e-12 
231  23   4  8.76e-14 1.08e-13 1.36e-13 1.69e-13 2.08e-13 2.50e-13 2.95e-13 3.44e-13 3.95e-13 4.49e-13 5.05e-13 5.62e-13 6.22e-13 6.83e-13 7.45e-13 8.09e-13 8.74e-13 9.39e-13 1.01e-12 1.07e-12 1.14e-12 1.21e-12 1.28e-12 1.35e-12 1.42e-12 1.49e-12 1.57e-12 1.64e-12 1.71e-12 1.78e-12 
232  23   3  9.40e-14 1.15e-13 1.45e-13 1.81e-13 2.23e-13 2.68e-13 3.16e-13 3.67e-13 4.19e-13 4.72e-13 5.25e-13 5.79e-13 6.33e-13 6.86e-13 7.39e-13 7.91e-13 8.42e-13 8.93e-13 9.43e-13 9.92e-13 1.04e-12 1.09e-12 1.13e-12 1.18e-12 1.23e-12 1.27e-12 1.31e-12 1.36e-12 1.40e-12 1.44e-12 
233  23   2  3.94e-14 4.82e-14 6.03e-14 7.49e-14 9.13e-14 1.09e-13 1.29e-13 1.50e-13 1.71e-13 1.94e-13 2.18e-13 2.42e-13 2.67e-13 2.92e-13 3.19e-13 3.45e-13 3.73e-13 4.00e-13 4.28e-13 4.57e-13 4.86e-13 5.15e-13 5.45e-13 5.74e-13 6.04e-13 6.35e-13 6.65e-13 6.96e-13 7.26e-13 7.57e-13 
