!MOLECULE
 NO from JPL database, updated 2010, incl. cross-ladder trans.          
!MOLECULAR WEIGHT
 30.
! NUMBER OF ENERGY LEVELS
 154
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
   273    11    10  9.569E-09         249.63564600    19.23     
   274    12    10  1.532E-09         249.68174290    19.23     
   275    13    10  9.586E-11         249.71650820    19.23     
   276    12     9  8.053E-09         249.78911110    19.23     
   277    13     9  2.303E-09         249.82387650    19.23     
   278    13     8  7.200E-09         249.88767200    19.23     
   279    11     5  1.841E-06         250.43684800    19.23     
   280    12     6  1.547E-06         250.44065900    19.23     
   281    13     7  1.381E-06         250.44853000    19.23     
   282    13     6  4.420E-07         250.47541400    19.23     
   283    12     5  2.947E-07         250.48293900    19.23     
   284    13     5  1.842E-08         250.51770300    19.23     
   285    14    10  1.848E-08         250.64580000    19.27     
   286    15    10  2.957E-07         250.70824500    19.28     
   287    14     9  4.437E-07         250.75314000    19.27     
   288    16    10  1.849E-06         250.79643600    19.28     
   289    15     9  1.553E-06         250.81559400    19.28     
   290    14     8  1.387E-06         250.81695400    19.27     
   291    14     7  7.330E-09         251.37778440    19.27     
   292    14     6  2.349E-09         251.40467760    19.27     
   293    14     5  9.807E-11         251.44696300    19.27     
   294    15     6  8.215E-09         251.46715290    19.28     
   295    15     5  1.568E-09         251.50943830    19.28     
   296    16     5  9.792E-09         251.59761930    19.28     
   297    53    52  1.407E-10         257.74657770   192.09     
   298    53    51  1.340E-08         257.74760660   192.09     
   299    54    52  1.340E-08         257.75038600   192.09     
   300    54    51  1.407E-10         257.75141490   192.09     
   301    55    52  2.251E-09         257.77783200   192.10     
   302    55    51  2.144E-07         257.77880200   192.10     
   303    56    52  2.145E-07         257.78101500   192.10     
   304    56    51  2.251E-09         257.78198150   192.10     
   305    53    50  3.377E-09         257.82090030   192.09     
   306    57    52  1.406E-08         257.82111980   192.10     
   307    53    49  3.217E-07         257.82151220   192.09     
   308    57    51  1.340E-06         257.82208600   192.10     
   309    54    50  3.217E-07         257.82470860   192.09     
   310    58    52  1.340E-06         257.82502500   192.10     
   311    54    49  3.377E-09         257.82532050   192.09     
   312    58    51  1.406E-08         257.82607150   192.10     
   313    55    50  1.182E-08         257.85215470   192.10     
   314    55    49  1.126E-06         257.85274600   192.10     
   315    56    50  1.126E-06         257.85528900   192.10     
   316    56    49  1.182E-08         257.85588710   192.10     
   317    53    48  1.055E-08         257.86620980   192.09     
   318    53    47  1.005E-06         257.86735500   192.09     
   319    54    48  1.006E-06         257.87004000   192.09     
   320    54    47  1.055E-08         257.87116600   192.09     
   321   151   148  1.040E-19         266.03531970   538.69     
   322   151   145  6.170E-20         266.28252160   538.69     
   323   127   122  6.989E-20         269.85405190   417.17     
   324   130   122  2.550E-20         270.00006870   417.18     
   325   152   148  6.933E-20         270.80322100   538.92     
   326   152   145  1.123E-19         271.05042280   538.92     
   327   127   121  2.496E-20         274.06193400   417.17     
   328   130   121  7.151E-20         274.20795080   417.18     
   329    17    16  2.817E-08         349.52874960    36.06     
   330    18    16  2.301E-09         349.57600680    36.06     
   331    19    16  6.397E-11         349.61488290    36.06     
   332    18    15  2.590E-08         349.66418790    36.06     
   333    19    15  3.072E-09         349.70306400    36.06     
   334    19    14  2.509E-08         349.76553920    36.06     
   335    17    11  5.416E-06         350.68949400    36.06     
   336    18    12  4.974E-06         350.69076600    36.06     
   337    19    13  4.815E-06         350.69477200    36.06     
   338    19    12  5.897E-07         350.72958300    36.06     
   339    18    11  4.423E-07         350.73677800    36.06     
   340    19    11  1.228E-08         350.77566000    36.06     
   341    20    16  1.231E-08         350.90130660    36.12     
   342    21    16  4.434E-07         350.96337000    36.13     
   343    20    15  5.913E-07         350.98958300    36.12     
   344    22    16  5.433E-06         351.04352400    36.13     
   345    21    15  4.989E-06         351.05146900    36.13     
   346    20    14  4.829E-06         351.05170500    36.12     
   347    20    13  2.558E-08         351.98122160    36.12     
   348    20    12  3.136E-09         352.01598690    36.12     
   349    20    11  6.545E-11         352.06208370    36.12     
   350    21    12  2.644E-08         352.07801730    36.13     
   351    21    11  2.355E-09         352.12411410    36.13     
   352    22    11  2.882E-08         352.20429550    36.13     
   353    65    58  1.172E-10         360.87787690   209.42     
   354    65    57  1.117E-08         360.88179970   209.42     
   355    66    58  1.117E-08         360.88700570   209.42     
   356    66    57  1.172E-10         360.89092850   209.42     
   357    67    58  4.217E-09         360.90108250   209.42     
   358    67    57  4.021E-07         360.90504000   209.42     
   359    68    58  4.021E-07         360.90935700   209.42     
   360    68    57  4.217E-09         360.91334340   209.42     
   361    65    56  5.623E-09         360.92196690   209.42     
   362    65    55  5.361E-07         360.92511000   209.42     
   363    69    58  5.163E-08         360.93075390   209.42     
   364    66    56  5.361E-07         360.93105000   209.42     
   365    66    55  5.623E-09         360.93421630   209.42     
   366    69    57  4.925E-06         360.93468800   209.42     
   367    70    58  4.925E-06         360.94030200   209.42     
   368    70    57  5.163E-08         360.94423310   209.42     
   369    67    56  4.742E-08         360.94517250   209.42     
   370    67    55  4.523E-06         360.94829100   209.42     
   371    65    54  4.591E-08         360.95253360   209.42     
   372    68    56  4.523E-06         360.95345600   209.42     
   373    65    53  4.378E-06         360.95632600   209.42     
   374    68    55  4.742E-08         360.95663120   209.42     
